rssd_id,banks,city,state,consol_assets_bn
852218,JPMORGAN CHASE BK NA,COLUMBUS,Ohio,2869.5
480228,BANK OF AMER NA,CHARLOTTE,North Carolina,2157
451965,WELLS FARGO BK NA,SIOUX FALLS,South Dakota,1750.2
476810,CITIBANK NA,SIOUX FALLS,South Dakota,1648.7
504713,U S BK NA,CINCINNATI,Ohio,530.5
852320,TRUIST BK,CHARLOTTE,North Carolina,488
817824,PNC BK NA,WILMINGTON,Delaware,457.5
497404,T D BK NA,WILMINGTON,Delaware,388.3
112837,CAPITAL ONE NA,MC LEAN,Virginia,360.3
541101,BANK OF NY MELLON,NEW YORK,New York,349.4
35301,STATE STREET B&TC,BOSTON,Massachusetts,268.7
413208,HSBC BK USA NA,TYSONS,Virginia,202.5
723112,FIFTH THIRD BK NA,CINCINNATI,Ohio,200.5
1456501,MORGAN STANLEY BK NA,SALT LAKE CITY,Utah,169.8
280110,KEYBANK NA,CLEVELAND,Ohio,169
210434,NORTHERN TC,CHICAGO,Illinois,151.6
75633,BMO HARRIS BK NA,CHICAGO,Illinois,151.5
233031,REGIONS BK,BIRMINGHAM,Alabama,144.5
501105,MANUFACTURERS & TRADERS TC,BUFFALO,New York,138.2
1394676,AMERICAN EXPRESS NB,SANDY,Utah,134.5
212465,MUFG UNION BK NA,SAN FRANCISCO,California,132.5
30810,DISCOVER BK,GREENWOOD,Delaware,122.8
12311,HUNTINGTON NB,COLUMBUS,Ohio,120.1
2253891,CAPITAL ONE BK USA NA,GLEN ALLEN,Virginia,111.7
697633,BBVA USA,BIRMINGHAM,Alabama,102
804963,BANK OF THE WEST,SAN FRANCISCO,California,96.3
802866,SILICON VALLEY BK,SANTA CLARA,California,95.2
60143,COMERICA BK,DALLAS,Texas,83.6
485559,FIRST HORIZON BK,MEMPHIS,Tennessee,82.7
276579,ZIONS BC NA,SALT LAKE CITY,Utah,78.4
63069,CITY NB,LOS ANGELES,California,73
395238,SYNOVUS BK,COLUMBUS,Georgia,53
197478,EAST WEST BK,PASADENA,California,50.4
491224,FIRST-CITIZENS B&TC,RALEIGH,North Carolina,48.6
266271,TCF NB,SIOUX FALLS,South Dakota,47.5
214807,DEUTSCHE BK TC AMERICAS,NEW YORK,New York,46.3
339858,BOKF NA,TULSA,Oklahoma,45.8
229801,VALLEY NB,PASSAIC,New Jersey,40.7
682563,FROST BK,SAN ANTONIO,Texas,40.2
1842065,CIBC BK USA,CHICAGO,Illinois,39.5
2618780,TEXAS CAP BK NA,DALLAS,Texas,38.4
1929247,SOUTH ST BK NA,WINTER HAVEN,Florida,37.7
379920,FIRST NB OF PA,GREENVILLE,Pennsylvania,37.4
917742,ASSOCIATED BK NA,GREEN BAY,Wisconsin,34.7
2925666,PINNACLE BK,NASHVILLE,Tennessee,33.6
664756,PROSPERITY BK,EL CAMPO,Texas,33.3
463735,HANCOCK WHITNEY BK,GULFPORT,Mississippi,33.2
601050,COMMERCE BK,KANSAS CITY,Missouri,31.4
934329,BNY MELLON NA,PITTSBURGH,Pennsylvania,30.3
936855,UMB BK NA,KANSAS CITY,Missouri,30.1
143662,UMPQUA BK,ROSEBURG,Oregon,29.4
494261,PACIFIC WESTERN BK,BEVERLY HILLS,California,28.4
107244,BANK OZK,LITTLE ROCK,Arkansas,26.9
35570,INVESTORS BK,SHORT HILLS,New Jersey,26.6
365325,UNITED BK,FAIRFAX,Virginia,25.9
474919,FULTON BK NA,LANCASTER,Pennsylvania,25.4
2121196,T D BK USA NA,WILMINGTON,Delaware,25.3
