rssd_id,portfolio,Peer,state,present,peer_rssd_id,Assets,color,Size,loc_x,loc_y,name
5210,Comm. Real Estate,bank0,Pennsylvania,2,5210,2,#000000,6,15,30,ACNB BK
5210,Comm. Real Estate,bank1,Minnesota,1,302656,2,#fffb00,6,-45,5,MINNWEST BK
5210,Comm. Real Estate,bank2,California,1,479268,3,#ff00ff,10,-145,40,BANK OF STOCKTON
5210,Comm. Real Estate,bank3,Indiana,1,693345,4,#1900ff,12,-13,33,FIRST FNCL BK NA
9807,Comm. Real Estate,bank0,New Jersey,2,9807,2,#000000,6,28,35,AMBOY BK
9807,Comm. Real Estate,bank1,Texas,1,599764,4,#fffb00,10,-60,60,AMERICAN NB TX
9807,Comm. Real Estate,bank2,Virginia,1,933621,3,#ff00ff,8,15,42,BURKE & HERBERT B&TC
9807,Comm. Real Estate,bank3,Pennsylvania,1,1216321,4,#1900ff,10,15,30,DBA REPUBLIC BANK
12311,Comm. Real Estate,bank0,Ohio,2,12311,120,#000000,10,-5,35,HUNTINGTON NB
12311,Comm. Real Estate,bank1,Oregon,1,143662,29,#fffb00,6,-150,20,UMPQUA BK
12311,Comm. Real Estate,bank2,Virginia,1,413208,202,#ff00ff,12,15,42,HSBC BK USA NA
12311,Comm. Real Estate,bank3,Illinois,1,1842065,39,#1900ff,8,-27,37,CIBC BK USA
12946,Comm. Real Estate,bank0,Arkansas,2,12946,1,#000000,8,-42,48,FARMERS B&TC
12946,Comm. Real Estate,bank1,New York,1,176101,1,#fffb00,8,28,18,ORANGE B&TC
12946,Comm. Real Estate,bank2,Illinois,1,375034,2,#ff00ff,12,-27,37,WEST SUBURBAN BK
12946,Comm. Real Estate,bank3,California,1,514066,1,#1900ff,8,-145,40,MONTECITO B&T
17147,Comm. Real Estate,bank0,Indiana,2,17147,13,#000000,10,-13,33,FIRST MRCHS BK
17147,Comm. Real Estate,bank1,California,1,871769,9,#fffb00,6,-145,40,FARMERS & MRCH BK
17147,Comm. Real Estate,bank2,Pennsylvania,1,936426,9,#ff00ff,6,15,30,S&T BK
17147,Comm. Real Estate,bank3,Pennsylvania,1,2354985,18,#1900ff,12,10,27,CUSTOMERS BK
18827,Comm. Real Estate,bank0,Pennsylvania,2,18827,1,#000000,8,15,30,NEXTIER BK NA
18827,Comm. Real Estate,bank1,Missouri,1,625654,1,#fffb00,8,-38,38,COUNTRY CLUB BK
18827,Comm. Real Estate,bank2,Arkansas,1,2596646,1,#ff00ff,8,-42,48,FIRST CMNTY BK
18827,Comm. Real Estate,bank3,New Mexico,1,2649122,2,#1900ff,12,-90,50,NEW MEXICO B&TC
23504,Comm. Real Estate,bank0,New York,2,23504,6,#000000,6,28,18,BNB BK
23504,Comm. Real Estate,bank1,Pennsylvania,1,42420,9,#fffb00,10,15,30,FIRST COMMONWEALTH BK
23504,Comm. Real Estate,bank2,North Carolina,1,216922,7,#ff00ff,8,9,48,FIRST BK
23504,Comm. Real Estate,bank3,Massachusetts,1,964700,9,#1900ff,10,38,23,BOSTON PRIVATE B&TC
24006,Comm. Real Estate,bank0,New York,2,24006,1,#000000,8,28,18,PCSB BK
24006,Comm. Real Estate,bank1,Missouri,1,535753,2,#fffb00,12,-38,38,ACADEMY BK NA
24006,Comm. Real Estate,bank2,Utah,1,933975,1,#ff00ff,8,-110,35,BANK OF UT
24006,Comm. Real Estate,bank3,Washington,1,2562164,1,#1900ff,8,-138,0,COASTAL CMNTY BK
24668,Comm. Real Estate,bank0,Texas,2,24668,1,#000000,6,-60,60,BTH BK NA
24668,Comm. Real Estate,bank1,Massachusetts,1,377908,6,#fffb00,12,38,23,CENTURY B&TC
24668,Comm. Real Estate,bank2,New York,1,538802,2,#ff00ff,10,28,18,INTERAUDI BK
24668,Comm. Real Estate,bank3,Pennsylvania,1,1007819,1,#1900ff,6,15,30,FIDELITY DEPOSIT & DISCOUNT BK
26765,Comm. Real Estate,bank0,Texas,2,26765,2,#000000,6,-60,60,VANTAGE BK TX
26765,Comm. Real Estate,bank1,Maine,1,593007,5,#fffb00,10,50,10,CAMDEN NB
26765,Comm. Real Estate,bank2,Nebraska,1,660655,4,#ff00ff,8,-70,27,AMERICAN NB
26765,Comm. Real Estate,bank3,New York,1,661308,6,#1900ff,12,28,18,AMALGAMATED BK
30810,Comm. Real Estate,bank0,Delaware,2,30810,122,#000000,12,28,38,DISCOVER BK
30810,Comm. Real Estate,bank1,New York,1,229913,7,#fffb00,10,28,18,MIZUHO BK USA
30810,Comm. Real Estate,bank2,New Jersey,1,925411,3,#ff00ff,8,28,35,SUMITOMO MITSUI TR BK USA
30810,Comm. Real Estate,bank3,New York,1,976703,2,#1900ff,6,20,20,BESSEMER TC NA
34537,Comm. Real Estate,bank0,Florida,2,34537,8,#000000,6,0,63,SEACOAST NB
34537,Comm. Real Estate,bank1,Pennsylvania,1,42420,9,#fffb00,8,15,30,FIRST COMMONWEALTH BK
34537,Comm. Real Estate,bank2,New York,1,320119,10,#ff00ff,12,28,18,ISRAEL DISCOUNT BK OF NY
34537,Comm. Real Estate,bank3,Indiana,1,963945,9,#1900ff,8,-13,33,MERCHANTS BK OF IN
