date,rssd_id,product,chg_b,chg_s,rolling9q_b,rolling9q_s
2020-12-31,5210,Comm. & Industrial,41,41,125.1541504,125.1541504
2021-03-31,5210,Comm. & Industrial,279.0321912,716.0685781,199.6488944,230.6330154
2021-06-30,5210,Comm. & Industrial,214.8158364,646.3362318,410.5402396,528.5381027
2021-09-30,5210,Comm. & Industrial,193.9806154,598.628245,6375.967532,8940.156153
2021-12-31,5210,Comm. & Industrial,188.2933889,538.0694857,3931.527004,5899.443651
2022-03-31,5210,Comm. & Industrial,188.5243081,504.4367578,2689.231552,4260.145368
2022-06-30,5210,Comm. & Industrial,190.2458443,406.7378291,880.7661869,2130.18616
2022-09-30,5210,Comm. & Industrial,190.5277021,335.1760161,695.6756529,1696.861219
2022-12-31,5210,Comm. & Industrial,192.5591586,281.3875922,568.9817107,1378.532381
2023-03-31,5210,Comm. & Industrial,196.9076863,240.325355,497.8358816,1157.754512
2023-06-30,5210,Comm. & Industrial,198.7325292,203.3998453,397.1659163,849.8628591
2023-09-30,5210,Comm. & Industrial,200.5573722,166.5776424,337.9402985,635.8949647
2023-12-31,5210,Comm. & Industrial,203.6957109,141.8573291,297.5327089,479.0952412
2024-03-31,5210,Comm. & Industrial,205.5205539,130.857135,267.2057445,364.4985788
2020-12-31,5210,Comm. Real Estate,134.0625,134.0625,3.052996307,3.052996307
2021-03-31,5210,Comm. Real Estate,273.3580238,567.4523674,3.169678742,3.678865268
2021-06-30,5210,Comm. Real Estate,236.8048369,558.0251693,3.210440014,4.232139538
2021-09-30,5210,Comm. Real Estate,212.2792753,543.8455838,3.200268518,4.70659911
2021-12-31,5210,Comm. Real Estate,198.4243834,518.1649868,3.167888169,5.100648832
2022-03-31,5210,Comm. Real Estate,194.5192213,514.8664025,3.211046428,5.535178777
2022-06-30,5210,Comm. Real Estate,192.029074,474.7774347,3.2592,5.966897962
2022-09-30,5210,Comm. Real Estate,188.8314193,449.0051974,3.293742885,6.336855037
2022-12-31,5210,Comm. Real Estate,189.6987934,402.430789,2.558084699,5.85072372
2023-03-31,5210,Comm. Real Estate,191.1138082,365.9861259,2.586883569,6.056389639
2023-06-30,5210,Comm. Real Estate,191.1138082,336.4230886,2.426799489,5.629572933
2023-09-30,5210,Comm. Real Estate,191.1138082,301.1553658,2.321160547,5.184295406
2023-12-31,5210,Comm. Real Estate,188.933227,275.3813724,2.248481248,4.740126409
2024-03-31,5210,Comm. Real Estate,186.0451384,253.7943642,2.192434146,4.317080557
2020-12-31,5210,Jr Mortgage & HELOC,21.175,21.175,4.602473444,4.602473444
2021-03-31,5210,Jr Mortgage & HELOC,63.71569263,39.31200552,3.990443538,3.801935427
2021-06-30,5210,Jr Mortgage & HELOC,65.94619679,37.13341966,4.091516669,3.67720503
2021-09-30,5210,Jr Mortgage & HELOC,63.33773218,31.82341997,4.445172065,3.781717544
2021-12-31,5210,Jr Mortgage & HELOC,61.5142278,31.99652966,3.575074506,2.677810924
2022-03-31,5210,Jr Mortgage & HELOC,59.69686469,28.57156494,3.132985824,1.991241674
2022-06-30,5210,Jr Mortgage & HELOC,61.44742068,24.82730769,3.477279509,2.036323413
2022-09-30,5210,Jr Mortgage & HELOC,63.10523025,22.9767584,3.819093696,2.055879112
2022-12-31,5210,Jr Mortgage & HELOC,64.86499815,23.87081974,4.148784899,2.068741221
2023-03-31,5210,Jr Mortgage & HELOC,66.62860435,27.17632759,4.459479235,2.093354099
2023-06-30,5210,Jr Mortgage & HELOC,66.61554376,31.82552164,4.43432055,2.013092354
2023-09-30,5210,Jr Mortgage & HELOC,66.60555381,36.70040751,4.392542306,1.988519781
2023-12-31,5210,Jr Mortgage & HELOC,66.59940215,41.23025741,4.371349635,2.038997353
2024-03-31,5210,Jr Mortgage & HELOC,66.59555347,46.33466302,4.364236588,2.125399048
2020-12-31,5210,Credit Cards,0,0,0,0
2021-03-31,5210,Credit Cards,0.038412703,0,0,0
2021-06-30,5210,Credit Cards,0.005662476,0,0,0
2021-09-30,5210,Credit Cards,0.008145013,0,0,0
2021-12-31,5210,Credit Cards,0,0,0,0
2022-03-31,5210,Credit Cards,0.009332507,0,0,0
2022-06-30,5210,Credit Cards,0.01107404,0.003461745,0,0
2022-09-30,5210,Credit Cards,0.005400442,0.009278551,0,0
2022-12-31,5210,Credit Cards,0.001964834,0.015926835,0,0
2023-03-31,5210,Credit Cards,0,0.017858513,0,0
2023-06-30,5210,Credit Cards,0.001500797,0.022946636,0,0
2023-09-30,5210,Credit Cards,0.001886748,0.02344244,0,0
2023-12-31,5210,Credit Cards,0.001343399,0.023565974,0,0
2024-03-31,5210,Credit Cards,0.001562058,0.026335581,0,0
2020-12-31,9807,Comm. & Industrial,249,249,39.13623511,39.13623511
2021-03-31,9807,Comm. & Industrial,450.1224623,1233.530255,32.7699912,44.15832569
2021-06-30,9807,Comm. & Industrial,374.2763118,1139.239793,31.0160464,50.97319345
2021-09-30,9807,Comm. & Industrial,334.5357271,1043.698773,29.11180589,55.20450233
2021-12-31,9807,Comm. & Industrial,318.2458366,938.0471186,27.1806493,57.08998941
2022-03-31,9807,Comm. & Industrial,320.5819858,895.1496011,25.58159118,58.12749834
2022-06-30,9807,Comm. & Industrial,327.1658486,741.8115292,24.24987518,57.51989117
2022-09-30,9807,Comm. & Industrial,331.6258547,637.8150393,25.11241892,60.90398064
2022-12-31,9807,Comm. & Industrial,339.2637583,549.0492095,26.02496301,63.48369482
2023-03-31,9807,Comm. & Industrial,343.511472,488.4746626,26.71887013,65.25236561
2023-06-30,9807,Comm. & Industrial,343.511472,436.8726431,25.70291857,58.22602219
2023-09-30,9807,Comm. & Industrial,343.511472,379.3877247,25.33559809,51.569176
2023-12-31,9807,Comm. & Industrial,345.5470596,342.263872,25.32244998,45.45883753
2024-03-31,9807,Comm. & Industrial,345.4587904,326.2903183,25.4450119,40.14983648
2020-12-31,9807,Comm. Real Estate,23,23,7.988648615,7.988648615
2021-03-31,9807,Comm. Real Estate,1460.592224,8379.608389,8.965022322,15.21518403
