date,rssd_id,product,bank0_b,bank0_s,bank1_b,bank1_s,bank2_b,bank2_s,bank3_b,bank3_s
2020-12-31,5210,Credit Cards,0,0,0,0,65.09484044,65.09484044,0,0
2021-03-31,5210,Credit Cards,0,0,0,0,69.65415862,68.90503786,0,0
2021-06-30,5210,Credit Cards,0,0,0,0,72.97017706,74.62326542,0,0
2021-09-30,5210,Credit Cards,0,0,0,0,75.5505288,80.90419233,0,0
2021-12-31,5210,Credit Cards,0,0,0,0,77.57064733,87.20488473,0,0
2022-03-31,5210,Credit Cards,0,0,0,0,79.19054452,93.83093924,0,0
2022-06-30,5210,Credit Cards,0,0,0,0,80.57924499,100.7743792,0,0
2022-09-30,5210,Credit Cards,0,0,0,0,81.73675295,108.0071476,0,0
2022-12-31,5210,Credit Cards,0,0,0,0,82.8352241,114.4576749,0,0
2023-03-31,5210,Credit Cards,0,0,0,0,84.06860733,120.2801815,0,0
2023-06-30,5210,Credit Cards,0,0,0,0,80.79226663,122.0706792,0,0
2023-09-30,5210,Credit Cards,0,0,0,0,78.89405095,121.7308531,0,0
2023-12-31,5210,Credit Cards,0,0,0,0,77.52618242,120.5959337,0,0
2024-03-31,5210,Credit Cards,0,0,0,0,76.67775792,119.0240482,0,0
2020-12-31,5210,Jr Mortgage & HELOC,4.602473444,4.602473444,4.723274576,4.723274576,2.43246219,2.43246219,2.57532938,2.57532938
2021-03-31,5210,Jr Mortgage & HELOC,3.990443538,3.801935427,4.389361854,4.303233951,2.199552087,2.129512782,2.829135493,2.720120828
2021-06-30,5210,Jr Mortgage & HELOC,4.091516669,3.67720503,4.367083412,4.294259606,2.260548229,2.294717258,3.197841711,3.269118478
2021-09-30,5210,Jr Mortgage & HELOC,4.445172065,3.781717544,4.364085199,4.314342916,2.45655383,2.631633982,3.40097682,3.715846507
2021-12-31,5210,Jr Mortgage & HELOC,3.575074506,2.677810924,3.532514494,3.500547788,2.476636986,2.800676983,3.323039901,3.899238728
2022-03-31,5210,Jr Mortgage & HELOC,3.132985824,1.991241674,3.534428098,3.52593049,2.592859148,3.082783505,3.646996567,4.51728404
2022-06-30,5210,Jr Mortgage & HELOC,3.477279509,2.036323413,3.721196052,3.734685657,2.83030875,3.524628088,3.856349476,5.085563446
2022-09-30,5210,Jr Mortgage & HELOC,3.819093696,2.055879112,3.448987217,3.486579465,2.777801633,3.70357817,4.087668858,5.72601397
2022-12-31,5210,Jr Mortgage & HELOC,4.148784899,2.068741221,3.464511202,3.514002138,2.923313543,4.036160507,3.896374452,5.872978347
2023-03-31,5210,Jr Mortgage & HELOC,4.459479235,2.093354099,3.472854267,3.527245691,3.177994786,4.439199585,3.360212981,5.612295244
2023-06-30,5210,Jr Mortgage & HELOC,4.43432055,2.013092354,3.297832656,3.430214731,2.984330109,4.43687178,3.071419962,5.664743983
2023-09-30,5210,Jr Mortgage & HELOC,4.392542306,1.988519781,3.201946023,3.343720244,2.876327714,4.327488348,2.923982527,5.530941127
2023-12-31,5210,Jr Mortgage & HELOC,4.371349635,2.038997353,3.110764021,3.264164407,2.78521876,4.205849988,2.803707309,5.368867314
2024-03-31,5210,Jr Mortgage & HELOC,4.364236588,2.125399048,3.037892657,3.207815977,2.706744946,4.087848389,2.703310382,5.20607021
