Date,UR_B,DJI_B,HPI_B,UR_S,DJI_S,HPI_S
2020-12-31,6.8,39220,225,6.8,39220,225
2021-03-31,6.6,39528,227,7.8,23195,223
2021-06-30,6.2,39847,229,8.6,19178,213
2021-09-30,5.8,40177,231,9.3,17650,206
2021-12-31,5.5,40515,233,9.7,17711,198
2022-03-31,5.3,40861,235,10.1,18626,190
2022-06-30,5.1,41214,237,10.5,20672,182
2022-09-30,4.9,41573,240,10.8,22091,175
2022-12-31,4.8,41938,242,10.2,24004,172
2023-03-31,4.8,42308,244,9.6,25977,172
2023-06-30,4.8,42684,247,9.1,28166,175
2023-09-30,4.8,43064,249,8.5,30649,177
2023-12-31,4.7,43449,251,8,33456,180
2024-03-31,4.6,43837,254,7.4,36631,183
